tid,t_name,t_issue,t_sub_district,t_district,t_province
46,โครงการที่ 10,ปัจจัยเสี่ยง,คำโคกสูง,หนองหงส์,สุพรรณบุรี
47,โครงการที่ 6,ขยะ,วังคัน,ธัญบุรี,อุตรดิตถ์
48,โครงการที่ 12,โรคไม่ติดต่อ,บ้านพร้าว,นาดี,นครสวรรค์
49,โครงการที่ 17,บุหรี่ไฟฟ้า,โพธิ์ทอง,นาแก,ขอนแก่น
50,โครงการที่ 11,สังคมสูงอายุ,ลำพะยา,วังทรายพูน,อุทัยธานี
51,โครงการที่ 6,โรคไม่ติดต่อ,บ้านแปะ,วิเชียรบุรี,ยะลา
52,โครงการที่ 9,ความมั่นคงทางอาหาร,เด่นราษฎร์,ประโคนชัย,นนทบุรี
53,โครงการที่ 1,น้ำ,ระโนด,นาดูน,ปัตตานี
54,โครงการที่ 20,ปัจจัยเสี่ยง,ตลาด,เวียงสา,ร้อยเอ็ด
55,โครงการที่ 4,สังคมสูงอายุ,กลางเวียง,ห้วยยอด,ปทุมธานี
56,โครงการที่ 19,ขยะ,บ้านควนมุด,ห้วยแถลง,สุราษฎร์ธานี
57,โครงการที่ 18,ขยะ,บ้านสหกรณ์,วัดเพลง,กรุงเทพมหานคร
58,โครงการที่ 15,น้ำ,เขาขาว,ปากช่อง,พังงา
59,โครงการที่ 6,โรคไม่ติดต่อ,ปากทรง,กันทรวิชัย,กาญจนบุรี
60,โครงการที่ 7,โรคไม่ติดต่อ,บงตัน,โพธิ์ตาก,พัทลุง
61,โครงการที่ 20,ปัจจัยเสี่ยง,เวียงกาหลง,ขุนหาญ,อุตรดิตถ์
62,โครงการที่ 10,ขยะ,เย้ยปราสาท,เมืองหนองคาย,อำนาจเจริญ
63,โครงการที่ 16,โรคไม่ติดต่อ,บ่อเงิน,นครชัยศรี,ชลบุรี
64,โครงการที่ 14,ขยะ,หนองบ่อ,กุมภวาปี,สุรินทร์
65,โครงการที่ 9,น้ำ,เมืองมาย,เสาไห้,กระบี่
66,โครงการที่ 13,บุหรี่ไฟฟ้า,อีง่อง,สันกำแพง,พัทลุง
67,โครงการที่ 10,ความมั่นคงทางอาหาร,บางรัก,ขลุง,สระแก้ว
68,โครงการที่ 9,โรคไม่ติดต่อ,ปากแพรก,สันกำแพง,นครราชสีมา
69,โครงการที่ 13,โรคไม่ติดต่อ,ท่าข้าม,สร้างคอม,นครปฐม
70,โครงการที่ 1,ความมั่นคงทางอาหาร,บ้านซ่ง,เมืองบุรีรัมย์,สุรินทร์
71,โครงการที่ 10,ขยะ,โคราช,หาดใหญ่,อุดรธานี
72,โครงการที่ 13,เยาวชน,หลุมดิน,นครชัยศรี,ตราด
73,โครงการที่ 13,สังคมสูงอายุ,เนินขาม,พนมไพร,เพชรบุรี
74,โครงการที่ 3,โรคไม่ติดต่อ,บางเดื่อ,เฉลิมพระเกียรติ,ตาก
75,โครงการที่ 18,ความมั่นคงทางอาหาร,ปากคลอง,บางกล่ำ,ร้อยเอ็ด
76,โครงการที่ 1,น้ำ,วังหิน,ศรีบรรพต,ระยอง
77,โครงการที่ 18,น้ำ,ยางตาล,เมืองพัทลุง,ปัตตานี
78,โครงการที่ 20,โรคไม่ติดต่อ,ทุ่งสะโตก,กำแพงแสน,นครนายก
79,โครงการที่ 14,ปัจจัยเสี่ยง,บ้านธาตุ,ท่าหลวง,กาฬสินธุ์
80,โครงการที่ 11,เยาวชน,คึมใหญ่,อรัญประเทศ,เพชรบุรี
81,โครงการที่ 2,เยาวชน,หนองม่วง,สนามชัยเขต,ร้อยเอ็ด
82,โครงการที่ 8,สังคมสูงอายุ,โนนหัน,เกาะคา,ฉะเชิงเทรา
83,โครงการที่ 8,ความมั่นคงทางอาหาร,อ่างทอง,เมืองหนองคาย,ยโสธร
84,โครงการที่ 13,น้ำ,เกาะช้าง,เมืองเชียงราย,ร้อยเอ็ด
85,โครงการที่ 12,สังคมสูงอายุ,ศรีสุทโธ,แม่สอด,ชัยภูมิ
86,โครงการที่ 19,สังคมสูงอายุ,ลาดบัวขาว,บางซ้าย,ศรีสะเกษ
87,โครงการที่ 10,เยาวชน,อินทขิล,บ้านไร่,ราชบุรี
88,โครงการที่ 2,โรคไม่ติดต่อ,เนินเพิ่ม,มหาราช,ลำปาง
89,โครงการที่ 13,สังคมสูงอายุ,โพนงาม,ขุขันธ์,มหาสารคาม
90,โครงการที่ 8,ขยะ,ทับหมัน,มัญจาคีรี,กรุงเทพมหานคร
91,โครงการที่ 12,ความมั่นคงทางอาหาร,นาวุ้ง,เมืองสุรินทร์,นครราชสีมา
92,โครงการที่ 15,ปัจจัยเสี่ยง,เกาะโพธิ์,ดำเนินสะดวก,กำแพงเพชร
93,โครงการที่ 16,น้ำ,พนานิคม,วังยาง,สุโขทัย
94,โครงการที่ 12,ปัจจัยเสี่ยง,ป่ามะคาบ,น้ำโสม,สิงห์บุรี
95,โครงการที่ 7,น้ำ,ดอนโพธิ์ทอง,ท่าปลา,ลำปาง
96,โครงการที่ 13,ความมั่นคงทางอาหาร,หานโพธิ์,แม่ริม,หนองคาย
97,โครงการที่ 9,โรคไม่ติดต่อ,นาดี,ท่าแซะ,กรุงเทพมหานคร
98,โครงการที่ 12,สังคมสูงอายุ,เกิ้ง,เชียรใหญ่,ลำปาง
99,โครงการที่ 9,เยาวชน,กำปัง,ป่าโมก,นครพนม
100,โครงการที่ 8,สังคมสูงอายุ,ควนลัง,ไชยปราการ,ขอนแก่น
101,โครงการที่ 13,โรคไม่ติดต่อ,ศรีคีรีมาศ,เกาะพะงัน,นครปฐม
102,โครงการที่ 15,ความมั่นคงทางอาหาร,เกาะคา,บ้านนา,น่าน
103,โครงการที่ 1,ปัจจัยเสี่ยง,ปากคลองบางปลากด,เสลภูมิ,ชลบุรี
104,โครงการที่ 17,โรคไม่ติดต่อ,กรุงชิง,บางบาล,สุราษฎร์ธานี
105,โครงการที่ 11,โรคไม่ติดต่อ,โปงทุ่ง,วังเหนือ,อุบลราชธานี
106,โครงการที่ 2,โรคไม่ติดต่อ,คำแก้ว,หล่มสัก,นครราชสีมา
107,โครงการที่ 15,ความมั่นคงทางอาหาร,หลักด่าน,ชุมแสง,นครราชสีมา
108,โครงการที่ 17,เยาวชน,ผักขะ,ดอกคำใต้,ระยอง
109,โครงการที่ 11,เยาวชน,เที่ยงแท้,บ้านนา,ขอนแก่น
110,โครงการที่ 2,ปัจจัยเสี่ยง,บ้านหมอ,วิเชียรบุรี,ราชบุรี
111,โครงการที่ 8,โรคไม่ติดต่อ,บ้านถิ่น,บ้านเหลื่อม,กรุงเทพมหานคร
112,โครงการที่ 15,ปัจจัยเสี่ยง,กระจาย,บางรัก,ร้อยเอ็ด
113,โครงการที่ 8,ปัจจัยเสี่ยง,ออย,บ้านดุง,ร้อยเอ็ด
114,โครงการที่ 3,ขยะ,หนองหล่ม,แปลงยาว,เชียงราย
115,โครงการที่ 3,เยาวชน,เมืองแคน,โนนคูณ,อุบลราชธานี
116,โครงการที่ 5,โรคไม่ติดต่อ,เกษตรวิสัย,โกสุมพิสัย,บุรีรัมย์
117,โครงการที่ 5,ความมั่นคงทางอาหาร,ท่าชี,ปางมะผ้า,ศรีสะเกษ
118,โครงการที่ 9,ความมั่นคงทางอาหาร,แพงพวย,เชียรใหญ่,อุตรดิตถ์
119,โครงการที่ 9,น้ำ,หนองสวรรค์,ชื่นชม,ระยอง
120,โครงการที่ 8,ความมั่นคงทางอาหาร,นาสาร,ป่าซาง,อุบลราชธานี
121,โครงการที่ 17,เยาวชน,อรัญประเทศ,หนองไผ่,ปราจีนบุรี
122,โครงการที่ 6,เยาวชน,ดงเหนือ,บ้านด่าน,ยโสธร
123,โครงการที่ 13,ความมั่นคงทางอาหาร,แก่งดินสอ,บ้านผือ,ราชบุรี
124,โครงการที่ 7,น้ำ,ริมสีม่วง,บางไทร,ชัยภูมิ
125,โครงการที่ 1,ปัจจัยเสี่ยง,ลอมคอม,นาหม่อม,สงขลา
126,โครงการที่ 19,ความมั่นคงทางอาหาร,ดาโต๊ะ,ด่านซ้าย,กำแพงเพชร
127,โครงการที่ 20,โรคไม่ติดต่อ,บางกอบัว,ตากใบ,อุทัยธานี
128,โครงการที่ 7,เยาวชน,หมกแถว,ภูเรือ,กรุงเทพมหานคร
129,โครงการที่ 5,ปัจจัยเสี่ยง,บางคนที,บ้านไผ่,ปัตตานี
130,โครงการที่ 10,ปัจจัยเสี่ยง,โพธิ์ไชย,เมืองศรีสะเกษ,น่าน
131,โครงการที่ 2,โรคไม่ติดต่อ,ทุ่งคา,ลานกระบือ,ฉะเชิงเทรา
132,โครงการที่ 15,ความมั่นคงทางอาหาร,นาดี,หนองพอก,กาญจนบุรี
133,โครงการที่ 5,เยาวชน,บ้านเลือก,ป่าซาง,อุบลราชธานี
134,โครงการที่ 12,ขยะ,ปากน้ำ,โพนพิสัย,ศรีสะเกษ
135,โครงการที่ 3,ความมั่นคงทางอาหาร,บ้านจาน,เมืองอุบลราชธานี,นครสวรรค์
136,โครงการที่ 20,สังคมสูงอายุ,เกาะขนุน,คลองหาด,อุบลราชธานี
137,โครงการที่ 5,ความมั่นคงทางอาหาร,บ้านกาศ,บางสะพานน้อย,ลพบุรี
138,โครงการที่ 5,ความมั่นคงทางอาหาร,ทุ่งเขาหลวง,ลำปลายมาศ,เชียงใหม่
139,โครงการที่ 4,โรคไม่ติดต่อ,บือมัง,เมืองนครสวรรค์,พระนครศรีอยุธยา
140,โครงการที่ 5,สังคมสูงอายุ,สระจรเข้,นาหม่อม,กาญจนบุรี
141,โครงการที่ 3,ขยะ,เขาหัวควาย,ภูซาง,จันทบุรี
142,โครงการที่ 20,น้ำ,หนองโก,เมืองลำพูน,นครสวรรค์
143,โครงการที่ 15,ความมั่นคงทางอาหาร,หนองบัวใต้,เมืองศรีสะเกษ,จันทบุรี
144,โครงการที่ 9,ปัจจัยเสี่ยง,บ่อโพง,กันทรารมย์,มหาสารคาม
145,โครงการที่ 13,โรคไม่ติดต่อ,บ้านขาม,น้ำพอง,กาญจนบุรี
146,โครงการที่ 8,บุหรี่ไฟฟ้า,หนองหิน,พนัสนิคม,อุดรธานี
147,โครงการที่ 7,ความมั่นคงทางอาหาร,ท้ายบ้านใหม่,ด่านขุนทด,อุตรดิตถ์
148,โครงการที่ 17,ความมั่นคงทางอาหาร,หานโพธิ์,ปราสาท,ขอนแก่น
149,โครงการที่ 17,สังคมสูงอายุ,บางงา,พลับพลาชัย,สงขลา
150,โครงการที่ 18,เยาวชน,ทรายแดง,ศรีสำโรง,ร้อยเอ็ด
151,โครงการที่ 7,เยาวชน,บ้านยาง,เมืองยาง,มหาสารคาม
152,โครงการที่ 15,ปัจจัยเสี่ยง,หนองสามวัง,ปักธงชัย,มหาสารคาม
153,โครงการที่ 4,ขยะ,บ้านจารย์,สิงหนคร,กรุงเทพมหานคร
154,โครงการที่ 13,ความมั่นคงทางอาหาร,หนองขาม,จตุรพักตรพิมาน,นครราชสีมา
155,โครงการที่ 1,ขยะ,นาคา,เมืองสมุทรสาคร,เชียงราย
156,โครงการที่ 12,บุหรี่ไฟฟ้า,เขาไม้แก้ว,ท่าศาลา,พิจิตร
157,โครงการที่ 4,ความมั่นคงทางอาหาร,นาแส่ง,สะบ้าย้อย,พระนครศรีอยุธยา
158,โครงการที่ 19,สังคมสูงอายุ,สะเตงนอก,เมืองชุมพร,สงขลา
159,โครงการที่ 18,สังคมสูงอายุ,จานลาน,วัฒนานคร,ศรีสะเกษ
160,โครงการที่ 12,น้ำ,ห้วยโจด,สมเด็จ,อุบลราชธานี
161,โครงการที่ 16,น้ำ,บ้านบึง,หันคา,ราชบุรี
162,โครงการที่ 17,สังคมสูงอายุ,บ่อน้ำร้อน,บรบือ,สกลนคร
163,โครงการที่ 10,น้ำ,ลาดแค,เมืองระยอง,ร้อยเอ็ด
164,โครงการที่ 14,บุหรี่ไฟฟ้า,เขวาไร่,ขุนหาญ,บุรีรัมย์
165,โครงการที่ 3,เยาวชน,หลักเขต,ชานุมาน,เลย
166,โครงการที่ 18,เยาวชน,เมืองยาง,เมืองยะลา,นครราชสีมา
167,โครงการที่ 8,สังคมสูงอายุ,ลำภู,คลองท่อม,สุราษฎร์ธานี
168,โครงการที่ 9,โรคไม่ติดต่อ,ในเมือง,ดำเนินสะดวก,นครสวรรค์
169,โครงการที่ 16,ปัจจัยเสี่ยง,ชุมแพ,เมืองน่าน,นครศรีธรรมราช
170,โครงการที่ 2,โรคไม่ติดต่อ,ดงมะไฟ,ท่าตูม,อุดรธานี
171,โครงการที่ 17,เยาวชน,สร้างค้อ,พรหมบุรี,สระแก้ว
172,โครงการที่ 12,โรคไม่ติดต่อ,วังสรรพรส,เมืองปทุมธานี,หนองคาย
173,โครงการที่ 3,ความมั่นคงทางอาหาร,ทุ่งพระยา,หางดง,สมุทรสาคร
174,โครงการที่ 7,สังคมสูงอายุ,จอหอ,เมืองนครศรีธรรมราช,กาญจนบุรี
175,โครงการที่ 1,ปัจจัยเสี่ยง,ปากหมัน,จตุรพักตรพิมาน,อุดรธานี
176,โครงการที่ 12,ความมั่นคงทางอาหาร,ลุมพลี,ยางตลาด,สงขลา
177,โครงการที่ 10,สังคมสูงอายุ,อุ่มจาน,ท่าหลวง,หนองคาย
178,โครงการที่ 18,สังคมสูงอายุ,แดงใหญ่,หนองฉาง,กาฬสินธุ์
179,โครงการที่ 15,น้ำ,แม่หละ,รัษฎา,ลพบุรี
180,โครงการที่ 14,น้ำ,หินดาด,ไทรงาม,สุพรรณบุรี
181,โครงการที่ 17,ขยะ,ไม้กลอน,วิเศษชัยชาญ,อุตรดิตถ์
182,โครงการที่ 1,ขยะ,แหลมสน,เดชอุดม,พะเยา
183,โครงการที่ 14,โรคไม่ติดต่อ,ทุ่งแล้ง,บางบาล,อุดรธานี
184,โครงการที่ 14,น้ำ,ท่านัด,ทุ่งสง,บุรีรัมย์
185,โครงการที่ 4,ปัจจัยเสี่ยง,สินปุน,เขาวง,แพร่
186,โครงการที่ 1,น้ำ,โคกกลาง,เมืองพัทลุง,นครศรีธรรมราช
187,โครงการที่ 5,น้ำ,หางดง,ภูเขียว,ลพบุรี
188,โครงการที่ 5,น้ำ,มหาชัย,จักราช,กำแพงเพชร
189,โครงการที่ 18,โรคไม่ติดต่อ,โคกสำโรง,สิงหนคร,ตรัง
190,โครงการที่ 17,ขยะ,นาคำ,ชาติตระการ,สุรินทร์
191,โครงการที่ 2,ความมั่นคงทางอาหาร,แหลมตะลุมพุก,สีคิ้ว,กรุงเทพมหานคร
192,โครงการที่ 19,เยาวชน,สัมพันธ์,ผักไห่,ตราด
193,โครงการที่ 17,ปัจจัยเสี่ยง,ตะโก,บรบือ,สุรินทร์
194,โครงการที่ 19,ขยะ,ดอนศิลา,วังน้อย,อุตรดิตถ์
195,โครงการที่ 4,สังคมสูงอายุ,หัวเตย,ปะเหลียน,นครนายก
196,โครงการที่ 11,เยาวชน,โคกก่อง,ปากเกร็ด,บุรีรัมย์
197,โครงการที่ 10,เยาวชน,บ้านหลวง,คันนายาว,พิษณุโลก
198,โครงการที่ 6,สังคมสูงอายุ,บ้านเพิ่ม,เมืองตราด,ประจวบคีรีขันธ์
199,โครงการที่ 20,เยาวชน,เมืองสรวง,บางมูลนาก,อุบลราชธานี
200,โครงการที่ 12,ความมั่นคงทางอาหาร,เกาะหมาก,เลิงนกทา,พังงา
201,โครงการที่ 14,สังคมสูงอายุ,โพนทอง,เด่นชัย,แม่ฮ่องสอน
202,โครงการที่ 6,โรคไม่ติดต่อ,คลองนครเนื่องเขต,เมืองบุรีรัมย์,ยะลา
203,โครงการที่ 6,เยาวชน,สัมฤทธิ์,เมืองสุรินทร์,ชุมพร
204,โครงการที่ 18,ปัจจัยเสี่ยง,แก่งโดม,บึงกุ่ม,หนองบัวลำภู
205,โครงการที่ 15,บุหรี่ไฟฟ้า,บ้านพี้,แม่อาย,สงขลา
206,โครงการที่ 1,ความมั่นคงทางอาหาร,จันทึก,ด่านซ้าย,ศรีสะเกษ
207,โครงการที่ 4,เยาวชน,น้ำตก,เมืองอุตรดิตถ์,สุโขทัย
208,โครงการที่ 1,ปัจจัยเสี่ยง,บ้านตาล,บ้านลาด,กำแพงเพชร
209,โครงการที่ 13,เยาวชน,บ้านอ้อน,แม่อาย,นราธิวาส
210,โครงการที่ 5,ความมั่นคงทางอาหาร,หมื่นไวย,ฝาง,สุรินทร์
211,โครงการที่ 8,สังคมสูงอายุ,บ้านถ่อน,เมืองเชียงราย,กระบี่
212,โครงการที่ 2,เยาวชน,นาหนัง,ปราสาท,ขอนแก่น
213,โครงการที่ 7,น้ำ,บางเดื่อ,หนองบัวระเหว,น่าน
214,โครงการที่ 5,ความมั่นคงทางอาหาร,ตากฟ้า,เกาะคา,ร้อยเอ็ด
215,โครงการที่ 10,โรคไม่ติดต่อ,คลองสี่,สะเดา,เพชรบูรณ์
216,โครงการที่ 17,ปัจจัยเสี่ยง,บางคู้,เมืองตาก,หนองบัวลำภู
217,โครงการที่ 4,บุหรี่ไฟฟ้า,โคกชำแระ,ชุมพวง,บุรีรัมย์
218,โครงการที่ 1,ขยะ,กรอกสมบูรณ์,กะพ้อ,เชียงใหม่
219,โครงการที่ 15,เยาวชน,ชะอม,ดงหลวง,ศรีสะเกษ
220,โครงการที่ 4,โรคไม่ติดต่อ,ดอนทอง,บางปะอิน,อุบลราชธานี
221,โครงการที่ 5,โรคไม่ติดต่อ,ริมใต้,บ้านสร้าง,พะเยา
222,โครงการที่ 18,บุหรี่ไฟฟ้า,หนองพระ,เมืองมหาสารคาม,อุบลราชธานี
223,โครงการที่ 15,บุหรี่ไฟฟ้า,ดงเค็ง,โกรกพระ,นครราชสีมา
224,โครงการที่ 11,เยาวชน,สนามจันทร์,ดอกคำใต้,มหาสารคาม
225,โครงการที่ 20,โรคไม่ติดต่อ,หนองแคน,นามน,ศรีสะเกษ
226,โครงการที่ 4,โรคไม่ติดต่อ,อีปาด,คำม่วง,ชัยนาท
227,โครงการที่ 20,ปัจจัยเสี่ยง,หนองกุงศรี,เมืองอุดรธานี,ตรัง
228,โครงการที่ 1,น้ำ,ธารละหลอด,ลืออำนาจ,กรุงเทพมหานคร
229,โครงการที่ 5,โรคไม่ติดต่อ,วังหิน,เชียงขวัญ,ชัยนาท
230,โครงการที่ 11,น้ำ,บึงนคร,ขุนยวม,อุทัยธานี
231,โครงการที่ 2,บุหรี่ไฟฟ้า,ทุ่งนางโอก,แก่งคอย,ลำปาง
232,โครงการที่ 18,สังคมสูงอายุ,พระโขนงเหนือ,เมืองร้อยเอ็ด,อุตรดิตถ์
233,โครงการที่ 7,ความมั่นคงทางอาหาร,โคกกรวด,เมืองนครสวรรค์,เชียงใหม่
234,โครงการที่ 12,โรคไม่ติดต่อ,ดอนสัก,เมืองตรัง,นนทบุรี
235,โครงการที่ 3,โรคไม่ติดต่อ,บ้านชุ้ง,บ้านไผ่,เลย
236,โครงการที่ 9,โรคไม่ติดต่อ,บ้านเต่า,หนองหาน,สระแก้ว
237,โครงการที่ 19,เยาวชน,เขาพระ,หนองหาน,นครสวรรค์
238,โครงการที่ 9,สังคมสูงอายุ,กลาย,กาบัง,แพร่
239,โครงการที่ 19,ความมั่นคงทางอาหาร,ดงแดง,ซับใหญ่,พิษณุโลก
240,โครงการที่ 14,น้ำ,คลองปูน,เสาไห้,สุพรรณบุรี
241,โครงการที่ 8,ปัจจัยเสี่ยง,ท่าข้าม,ละหานทราย,อำนาจเจริญ
242,โครงการที่ 3,สังคมสูงอายุ,ฟากห้วย,คอนสวรรค์,นครราชสีมา
243,โครงการที่ 8,สังคมสูงอายุ,กลางดง,หนองโดน,หนองคาย
244,โครงการที่ 16,น้ำ,วันดาว,วิเศษชัยชาญ,สระบุรี
245,โครงการที่ 18,โรคไม่ติดต่อ,หนองผักนาก,สามพราน,กรุงเทพมหานคร
246,โครงการที่ 5,สังคมสูงอายุ,โนนหนามแท่ง,เมืองสมุทรปราการ,กรุงเทพมหานคร
247,โครงการที่ 18,ขยะ,สีกาย,ศีขรภูมิ,ลำปาง
248,โครงการที่ 12,น้ำ,สรอย,บางแก้ว,นครสวรรค์
249,โครงการที่ 16,ขยะ,สันมหาพน,ลาดยาว,พะเยา
250,โครงการที่ 6,ปัจจัยเสี่ยง,เมืองไผ่,ปรางค์กู่,พัทลุง
251,โครงการที่ 8,สังคมสูงอายุ,ท่าไม้,สังขะ,บุรีรัมย์
252,โครงการที่ 12,ขยะ,แม่งอน,นาดี,นครราชสีมา
253,โครงการที่ 13,ความมั่นคงทางอาหาร,น้ำชำ,รัษฎา,พิษณุโลก
254,โครงการที่ 10,ปัจจัยเสี่ยง,บ้านม่วง,ท่าแพ,นครสวรรค์
255,โครงการที่ 7,เยาวชน,หนองพอก,พระนคร,ปัตตานี
256,โครงการที่ 11,ปัจจัยเสี่ยง,กำแพงดิน,เมืองอุบลราชธานี,นครพนม
257,โครงการที่ 19,โรคไม่ติดต่อ,ห้วยนาง,คีรีรัฐนิคม,นครพนม
258,โครงการที่ 15,น้ำ,ทุ่งยาว,เมืองนครปฐม,ชลบุรี
259,โครงการที่ 1,สังคมสูงอายุ,ทุ่งมะพร้าว,กงไกรลาศ,เพชรบูรณ์
260,โครงการที่ 9,น้ำ,ทุ่งเบญจา,นิคมพัฒนา,เชียงราย
261,โครงการที่ 11,ขยะ,หูกวาง,เมืองนครราชสีมา,สงขลา
262,โครงการที่ 10,ขยะ,ควนลัง,ไชโย,ชัยภูมิ
263,โครงการที่ 15,บุหรี่ไฟฟ้า,หนองหลวง,เลาขวัญ,อุบลราชธานี
264,โครงการที่ 1,สังคมสูงอายุ,บางสะพาน,เมืองอุตรดิตถ์,ร้อยเอ็ด
265,โครงการที่ 5,สังคมสูงอายุ,นาสาร,โพธาราม,เชียงราย
266,โครงการที่ 5,ความมั่นคงทางอาหาร,ยางคำ,แม่สอด,จันทบุรี
267,โครงการที่ 13,เยาวชน,หนองสรวง,ท่าม่วง,สกลนคร
268,โครงการที่ 1,เยาวชน,หนองจะบก,ละอุ่น,นครราชสีมา
269,โครงการที่ 19,โรคไม่ติดต่อ,บาเระใต้,เทพารักษ์,ยะลา
270,โครงการที่ 12,น้ำ,หินลาด,พระพุทธบาท,เลย
271,โครงการที่ 15,ขยะ,คลองใหม่,บุณฑริก,อุบลราชธานี
272,โครงการที่ 9,ปัจจัยเสี่ยง,บ่อพันขัน,สายบุรี,ขอนแก่น
273,โครงการที่ 9,สังคมสูงอายุ,ทองมงคล,เมืองราชบุรี,นครพนม
274,โครงการที่ 5,ขยะ,บ้านจั่น,ชื่นชม,กาฬสินธุ์
275,โครงการที่ 18,ขยะ,แม่ตืน,ท่าวุ้ง,ขอนแก่น
276,โครงการที่ 17,ปัจจัยเสี่ยง,เมืองทอง,หัวหิน,กาญจนบุรี
277,โครงการที่ 8,โรคไม่ติดต่อ,บางกระบือ,กะเปอร์,บุรีรัมย์
278,โครงการที่ 17,น้ำ,จันทร์เพ็ญ,เมืองนครศรีธรรมราช,ชัยนาท
