pid,p_name,p_issue,p_sub_district,p_district,p_province
97,โครงการที่ 13,เด็กและเยาวชน,บ่อผุด,หนองฮี,พิษณุโลก
98,โครงการที่ 17,สุขภาพกาย,ตะเคียนเตี้ย,ปัว,ยะลา
99,โครงการที่ 11,เด็กและเยาวชน,ดอนเปา,แม่เมาะ,อุตรดิตถ์
100,โครงการที่ 6,เด็กและเยาวชน,วิศิษฐ์,พยัคฆภูมิพิสัย,นครราชสีมา
101,โครงการที่ 12,สิ่งแวดล้อม,ตาลเตี้ย,อากาศอำนวย,หนองคาย
102,โครงการที่ 14,ผู้สูงอายุ,คูบัว,เขาสมิง,เชียงใหม่
103,โครงการที่ 6,สุขภาพกาย,ม่วงเจ็ดต้น,เพ็ญ,สุโขทัย
104,โครงการที่ 7,เหล้าบุหรี่,โนนหมากเค็ง,อมก๋อย,ราชบุรี
105,โครงการที่ 8,เหล้าบุหรี่,เซกา,ป่าบอน,หนองบัวลำภู
106,โครงการที่ 9,ผู้สูงอายุ,ห้วยแก้ง,สันกำแพง,ศรีสะเกษ
107,โครงการที่ 1,เหล้าบุหรี่,เกาะยาวน้อย,บางใหญ่,อุดรธานี
108,โครงการที่ 4,เด็กและเยาวชน,บัวเชด,เมืองตาก,นครศรีธรรมราช
109,โครงการที่ 20,เด็กและเยาวชน,หนองสามวัง,กุฉินารายณ์,เชียงราย
110,โครงการที่ 16,ผู้สูงอายุ,เขาทะลุ,พังโคน,พระนครศรีอยุธยา
111,โครงการที่ 4,การจัดการน้ำ,ดอนทอง,ชะอำ,ปทุมธานี
112,โครงการที่ 9,สุขภาพกาย,ค้อใหญ่,เมืองเชียงราย,ราชบุรี
113,โครงการที่ 15,เหล้าบุหรี่,ทุ่งขมิ้น,เนินมะปราง,พัทลุง
114,โครงการที่ 17,การจัดการน้ำ,หนองผือ,ดอนพุด,อุทัยธานี
115,โครงการที่ 12,สุขภาพกาย,หนองหัวแรต,ดอนมดแดง,ร้อยเอ็ด
116,โครงการที่ 4,เด็กและเยาวชน,สามขา,ศรีสมเด็จ,กำแพงเพชร
117,โครงการที่ 12,ผู้สูงอายุ,นวมินทร์,สันกำแพง,นราธิวาส
118,โครงการที่ 8,ผู้สูงอายุ,ยางชุมใหญ่,เมืองสตูล,พระนครศรีอยุธยา
119,โครงการที่ 14,ผู้สูงอายุ,แสงสว่าง,กัลยาณิวัฒนา,แพร่
120,โครงการที่ 8,การจัดการน้ำ,ท่าชุมพล,วิเศษชัยชาญ,พิษณุโลก
121,โครงการที่ 3,เหล้าบุหรี่,โคกกลาง,วัฒนา,ศรีสะเกษ
122,โครงการที่ 16,สิ่งแวดล้อม,ตรัง,พัฒนานิคม,สงขลา
123,โครงการที่ 1,ผู้สูงอายุ,หนองหมากฝ้าย,เถิน,จันทบุรี
124,โครงการที่ 3,เด็กและเยาวชน,น้ำใส,พระพรหม,ขอนแก่น
125,โครงการที่ 2,เหล้าบุหรี่,สองสลึง,องครักษ์,อุดรธานี
126,โครงการที่ 18,สิ่งแวดล้อม,บ้านใหญ่,ม่วงสามสิบ,บึงกาฬ
127,โครงการที่ 3,สุขภาพกาย,บองอ,ชนแดน,พิษณุโลก
128,โครงการที่ 16,เด็กและเยาวชน,ผักขะ,เสลภูมิ,สุรินทร์
129,โครงการที่ 8,สิ่งแวดล้อม,ศรีสุข,พระสมุทรเจดีย์,จันทบุรี
130,โครงการที่ 5,การจัดการน้ำ,ท่าฬ่อ,เมืองชัยภูมิ,จันทบุรี
131,โครงการที่ 1,เด็กและเยาวชน,โคกสลุด,โพธิ์ศรีสุวรรณ,บุรีรัมย์
132,โครงการที่ 5,เด็กและเยาวชน,ทุ่งคลี,เกาะกูด,นครราชสีมา
133,โครงการที่ 4,เด็กและเยาวชน,หนองปรง,บางปะอิน,นครสวรรค์
134,โครงการที่ 15,ผู้สูงอายุ,หมากเขียบ,เมืองสุรินทร์,กาญจนบุรี
135,โครงการที่ 2,การจัดการน้ำ,บางเมืองใหม่,ภูเขียว,ขอนแก่น
136,โครงการที่ 8,สิ่งแวดล้อม,ปล่องหอย,ปง,พิษณุโลก
137,โครงการที่ 15,เหล้าบุหรี่,เนินยาง,แม่จัน,จันทบุรี
138,โครงการที่ 5,สุขภาพกาย,หัวฝาย,ท่าวังผา,ศรีสะเกษ
139,โครงการที่ 12,สุขภาพกาย,วังตะกอ,โพทะเล,กระบี่
140,โครงการที่ 7,สิ่งแวดล้อม,สีกัน,แกดำ,นครสวรรค์
141,โครงการที่ 9,การจัดการน้ำ,ระแงง,หนองบุญมาก,พัทลุง
142,โครงการที่ 16,เด็กและเยาวชน,นาใน,พานทอง,มหาสารคาม
143,โครงการที่ 4,เด็กและเยาวชน,แม่จัน,วิเชียรบุรี,นครนายก
144,โครงการที่ 15,เหล้าบุหรี่,หินลาด,หนองหงส์,สงขลา
145,โครงการที่ 17,การจัดการน้ำ,ทรายขาว,บางปะหัน,อุตรดิตถ์
146,โครงการที่ 10,เหล้าบุหรี่,ส่องดาว,พนัสนิคม,หนองคาย
147,โครงการที่ 11,สิ่งแวดล้อม,หนองบอน,นาโพธิ์,ชลบุรี
148,โครงการที่ 19,เหล้าบุหรี่,น้ำชำ,เมืองสิงห์บุรี,พิษณุโลก
149,โครงการที่ 16,ผู้สูงอายุ,ลำนางรอง,เกษตรสมบูรณ์,หนองบัวลำภู
150,โครงการที่ 7,สุขภาพกาย,หนองสีดา,ดอนมดแดง,สตูล
151,โครงการที่ 19,สิ่งแวดล้อม,โนนขมิ้น,กุดข้าวปุ้น,บุรีรัมย์
152,โครงการที่ 20,การจัดการน้ำ,ลี้,ศรีรัตนะ,ร้อยเอ็ด
153,โครงการที่ 20,การจัดการน้ำ,ระแว้ง,ห้างฉัตร,ร้อยเอ็ด
154,โครงการที่ 12,การจัดการน้ำ,ดอนเปา,สนม,ลพบุรี
155,โครงการที่ 2,เหล้าบุหรี่,กองควาย,โพธาราม,เชียงใหม่
156,โครงการที่ 3,เหล้าบุหรี่,ผดุงมาตร,หนองหญ้าปล้อง,เพชรบูรณ์
157,โครงการที่ 5,เหล้าบุหรี่,หนองซ้ำซาก,เชียงขวัญ,เชียงใหม่
158,โครงการที่ 17,เหล้าบุหรี่,ทองหลาง,ปะเหลียน,นครราชสีมา
159,โครงการที่ 6,สุขภาพกาย,พระธาตุบังพวน,ถ้ำพรรณรา,ขอนแก่น
160,โครงการที่ 7,ผู้สูงอายุ,ตรวจ,บ่อไร่,สกลนคร
161,โครงการที่ 6,สิ่งแวดล้อม,ตาเนาะปูเต๊ะ,พานทอง,นครราชสีมา
162,โครงการที่ 10,ผู้สูงอายุ,วังหงส์,ท่าชนะ,กรุงเทพมหานคร
163,โครงการที่ 5,การจัดการน้ำ,โนนโหนน,เมืองสิงห์บุรี,ชลบุรี
164,โครงการที่ 10,การจัดการน้ำ,ดอนพุด,ผาขาว,อุบลราชธานี
165,โครงการที่ 13,เหล้าบุหรี่,เหมืองง่า,เมืองสุรินทร์,อุดรธานี
166,โครงการที่ 2,สิ่งแวดล้อม,กกทอง,หนองหงส์,ยะลา
167,โครงการที่ 17,เหล้าบุหรี่,เป้า,ธาตุพนม,อุบลราชธานี
168,โครงการที่ 1,เด็กและเยาวชน,วังชะโอน,เทิง,พังงา
169,โครงการที่ 10,สิ่งแวดล้อม,บางใหญ่,นาแห้ว,มหาสารคาม
170,โครงการที่ 18,เหล้าบุหรี่,ตูมใต้,เมืองศรีสะเกษ,หนองคาย
171,โครงการที่ 17,เด็กและเยาวชน,จรเข้บัว,โพธิ์ประทับช้าง,น่าน
172,โครงการที่ 11,สุขภาพกาย,ศรีมหาโพธิ,เมืองร้อยเอ็ด,นครสวรรค์
173,โครงการที่ 6,สิ่งแวดล้อม,จองถนน,ชำนิ,กระบี่
174,โครงการที่ 8,เหล้าบุหรี่,นาแก้ว,ศรีสงคราม,เพชรบูรณ์
175,โครงการที่ 6,สิ่งแวดล้อม,สมสะอาด,ป่าติ้ว,ร้อยเอ็ด
176,โครงการที่ 12,เหล้าบุหรี่,นากะชะ,เมืองสกลนคร,อ่างทอง
177,โครงการที่ 20,สุขภาพกาย,ท่าโพ,เมืองพังงา,อุตรดิตถ์
178,โครงการที่ 9,เหล้าบุหรี่,โนนงาม,หนองหญ้าปล้อง,นครราชสีมา
179,โครงการที่ 16,ผู้สูงอายุ,พุมเรียง,ทรายมูล,นครสวรรค์
180,โครงการที่ 3,เหล้าบุหรี่,พระบาทนาสิงห์,สองพี่น้อง,พิจิตร
181,โครงการที่ 15,สุขภาพกาย,ท่าลี่,โพธิ์ชัย,สุราษฎร์ธานี
182,โครงการที่ 8,ผู้สูงอายุ,บางขันหมาก,เวียงป่าเป้า,กรุงเทพมหานคร
183,โครงการที่ 16,สิ่งแวดล้อม,น้ำจืดน้อย,เมืองหนองบัวลำภู,ยะลา
184,โครงการที่ 18,สิ่งแวดล้อม,ไผ่ล้อม,กันทรารมย์,เพชรบูรณ์
185,โครงการที่ 5,การจัดการน้ำ,หัวปลวก,หนองหญ้าปล้อง,พระนครศรีอยุธยา
186,โครงการที่ 13,เหล้าบุหรี่,แม่คะตวน,ลาดยาว,สงขลา
187,โครงการที่ 20,การจัดการน้ำ,ขุนยวม,กันทรวิชัย,ศรีสะเกษ
188,โครงการที่ 14,เด็กและเยาวชน,โบสถ์,เมืองพัทลุง,กำแพงเพชร
189,โครงการที่ 15,เด็กและเยาวชน,เทพนิมิต,แก่งกระจาน,กรุงเทพมหานคร
190,โครงการที่ 4,เหล้าบุหรี่,เวียง,เมืองขอนแก่น,อุบลราชธานี
191,โครงการที่ 17,เหล้าบุหรี่,ดงกลาง,สทิงพระ,นครราชสีมา
192,โครงการที่ 5,การจัดการน้ำ,ช้างคลาน,บ้านด่าน,ปทุมธานี
193,โครงการที่ 19,สิ่งแวดล้อม,ร้องเข็ม,เมืองอุตรดิตถ์,นราธิวาส
194,โครงการที่ 15,เด็กและเยาวชน,นานวล,หนองกุงศรี,สุพรรณบุรี
195,โครงการที่ 6,การจัดการน้ำ,หินตั้ง,ท่ามะกา,กรุงเทพมหานคร
196,โครงการที่ 7,สิ่งแวดล้อม,บางเหรียง,ไทยเจริญ,ขอนแก่น
197,โครงการที่ 16,ผู้สูงอายุ,พลับพลา,อุทัย,อำนาจเจริญ
198,โครงการที่ 11,เหล้าบุหรี่,พรานกระต่าย,สามพราน,ตราด
199,โครงการที่ 3,เหล้าบุหรี่,เชียงงา,เสนา,ปัตตานี
200,โครงการที่ 2,ผู้สูงอายุ,แม่จั๊วะ,บ้านด่านลานหอย,ชัยนาท
201,โครงการที่ 8,สุขภาพกาย,ปทุมวาปี,ปะคำ,ลำพูน
202,โครงการที่ 12,เด็กและเยาวชน,บางพลับ,ลาดกระบัง,สุโขทัย
203,โครงการที่ 13,สิ่งแวดล้อม,โคกชะงาย,ปากคาด,แม่ฮ่องสอน
204,โครงการที่ 19,สุขภาพกาย,ผาอินทร์แปลง,ตาลสุม,อุบลราชธานี
205,โครงการที่ 5,การจัดการน้ำ,ในเตา,โกสุมพิสัย,พัทลุง
206,โครงการที่ 2,สุขภาพกาย,หนองน้ำแดง,พล,อุบลราชธานี
207,โครงการที่ 17,การจัดการน้ำ,หลวงเหนือ,กุดรัง,นครพนม
208,โครงการที่ 13,ผู้สูงอายุ,ดงเสือเหลือง,ฆ้องชัย,ลำพูน
209,โครงการที่ 9,สุขภาพกาย,โคกปีบ,บางบ่อ,ศรีสะเกษ
210,โครงการที่ 4,ผู้สูงอายุ,ป่าหวายนั่ง,กุยบุรี,อุบลราชธานี
211,โครงการที่ 8,ผู้สูงอายุ,ไทรน้อย,ดงหลวง,นครสวรรค์
212,โครงการที่ 9,เหล้าบุหรี่,ห้วยใหญ่,แก่งกระจาน,ปัตตานี
213,โครงการที่ 17,การจัดการน้ำ,นาเฉลียง,เมืองสุราษฎร์ธานี,หนองคาย
214,โครงการที่ 10,ผู้สูงอายุ,หนองนกแก้ว,ศรีสงคราม,นครปฐม
215,โครงการที่ 18,สุขภาพกาย,ดงมูล,แม่จัน,นครราชสีมา
216,โครงการที่ 13,ผู้สูงอายุ,วังเหนือ,จอมพระ,ตรัง
217,โครงการที่ 19,เด็กและเยาวชน,เหล่าไฮ,หนองสองห้อง,พระนครศรีอยุธยา
218,โครงการที่ 16,สุขภาพกาย,เมืองแก,ท้ายเหมือง,ฉะเชิงเทรา
219,โครงการที่ 20,เด็กและเยาวชน,เกาะปันหยี,เมืองเพชรบุรี,บุรีรัมย์
220,โครงการที่ 12,สุขภาพกาย,แม่ต๋ำ,ไทรโยค,น่าน
221,โครงการที่ 12,เหล้าบุหรี่,แม่สอง,จะนะ,ลำพูน
222,โครงการที่ 5,สุขภาพกาย,หนองสนม,โคกโพธิ์ไชย,บึงกาฬ
223,โครงการที่ 6,สิ่งแวดล้อม,แม่ทา,แม่จริม,สงขลา
224,โครงการที่ 17,เด็กและเยาวชน,ฟ้าฮ่าม,หาดใหญ่,นครสวรรค์
225,โครงการที่ 6,สุขภาพกาย,เขามีเกียรติ,เมืองพังงา,ร้อยเอ็ด
226,โครงการที่ 20,สุขภาพกาย,ห้วยพระ,เชียรใหญ่,ระนอง
227,โครงการที่ 7,สุขภาพกาย,ดงแคนใหญ่,ธาตุพนม,นครพนม
228,โครงการที่ 6,สิ่งแวดล้อม,พระโขนง,ศีขรภูมิ,ขอนแก่น
229,โครงการที่ 5,สิ่งแวดล้อม,คลองตะเกรา,ละหานทราย,น่าน
230,โครงการที่ 5,เด็กและเยาวชน,ห้วยกระเจา,รัษฎา,ปราจีนบุรี
231,โครงการที่ 7,การจัดการน้ำ,ตาลโกน,เฉลิมพระเกียรติ,นครราชสีมา
232,โครงการที่ 15,การจัดการน้ำ,จรเข้ใหญ่,แก้งคร้อ,กรุงเทพมหานคร
233,โครงการที่ 2,การจัดการน้ำ,หัวตะพาน,สันป่าตอง,ชลบุรี
234,โครงการที่ 15,ผู้สูงอายุ,นามะเขือ,นาดูน,กระบี่
235,โครงการที่ 10,การจัดการน้ำ,โพธิ์ไทร,เชียงกลาง,สกลนคร
236,โครงการที่ 12,ผู้สูงอายุ,แก่งเลิงจาน,ทับปุด,อุดรธานี
237,โครงการที่ 4,เด็กและเยาวชน,บ่อหลวง,ลอง,นครศรีธรรมราช
238,โครงการที่ 9,สิ่งแวดล้อม,น้ำอ้อม,เมืองเชียงราย,ชลบุรี
239,โครงการที่ 11,การจัดการน้ำ,มะนังดาลำ,วังจันทร์,สระบุรี
240,โครงการที่ 14,เหล้าบุหรี่,โคกเพชร,เมืองจันทร์,สกลนคร
241,โครงการที่ 16,สุขภาพกาย,ห้วยด้วน,หล่มสัก,ขอนแก่น
242,โครงการที่ 10,การจัดการน้ำ,ไผ่โทน,เฉลิมพระเกียรติ,อ่างทอง
243,โครงการที่ 10,ผู้สูงอายุ,บางระกำ,บางกะปิ,กาฬสินธุ์
244,โครงการที่ 9,สุขภาพกาย,ขามสะแกแสง,วัฒนานคร,ร้อยเอ็ด
245,โครงการที่ 13,การจัดการน้ำ,ทุ่งสมอ,คำชะอี,พิษณุโลก
246,โครงการที่ 5,เหล้าบุหรี่,โนนทอง,เมืองพังงา,นครปฐม
247,โครงการที่ 6,เด็กและเยาวชน,โนนบุรี,ทัพทัน,นนทบุรี
248,โครงการที่ 6,สุขภาพกาย,ตาเนิน,เมืองชัยภูมิ,กำแพงเพชร
249,โครงการที่ 1,ผู้สูงอายุ,ท่าลาด,มายอ,นครราชสีมา
250,โครงการที่ 11,เหล้าบุหรี่,โพธิ์ประทับช้าง,สอยดาว,ศรีสะเกษ
251,โครงการที่ 11,สิ่งแวดล้อม,โพธิ์ไทร,ศรีรัตนะ,มหาสารคาม
252,โครงการที่ 1,สุขภาพกาย,ฝายนาแซง,ประทาย,ชัยภูมิ
253,โครงการที่ 9,เด็กและเยาวชน,หาดขาม,ห้วยกระเจา,สุรินทร์
254,โครงการที่ 19,เหล้าบุหรี่,กระทุ่มราย,เมืองอุดรธานี,ลำปาง
255,โครงการที่ 7,สุขภาพกาย,นาชุมแสง,โนนสะอาด,สุพรรณบุรี
256,โครงการที่ 1,ผู้สูงอายุ,หนองบอน,เลาขวัญ,อุบลราชธานี
257,โครงการที่ 13,เด็กและเยาวชน,ทับช้าง,หนองม่วง,กำแพงเพชร
258,โครงการที่ 14,เหล้าบุหรี่,ทุ่งยาว,สะเมิง,ประจวบคีรีขันธ์
259,โครงการที่ 14,เหล้าบุหรี่,ร่องฟอง,อุทุมพรพิสัย,ปทุมธานี
260,โครงการที่ 13,การจัดการน้ำ,โคกสำราญ,ปะเหลียน,สมุทรสงคราม
261,โครงการที่ 20,การจัดการน้ำ,เวียงเหนือ,โกสัมพีนคร,เชียงใหม่
262,โครงการที่ 8,เหล้าบุหรี่,ท่าไม้,สามพราน,สมุทรปราการ
263,โครงการที่ 19,การจัดการน้ำ,หนองสรวง,เมืองกำแพงเพชร,เชียงใหม่
264,โครงการที่ 5,สิ่งแวดล้อม,ดอนทราย,แก่งคอย,อุดรธานี
265,โครงการที่ 20,ผู้สูงอายุ,บางบอน,แม่แจ่ม,กรุงเทพมหานคร
266,โครงการที่ 3,การจัดการน้ำ,เมืองไพร,มหาราช,เชียงใหม่
267,โครงการที่ 14,สุขภาพกาย,ละหาน,เมืองหนองคาย,กระบี่
268,โครงการที่ 5,สุขภาพกาย,ตะค่า,บางคล้า,แม่ฮ่องสอน
269,โครงการที่ 10,สิ่งแวดล้อม,พุคำจาน,โคกสำโรง,นครราชสีมา
270,โครงการที่ 15,สิ่งแวดล้อม,กระจัน,ห้วยเม็ก,ร้อยเอ็ด
271,โครงการที่ 18,เด็กและเยาวชน,หนองปลาไหล,ทัพทัน,เชียงใหม่
272,โครงการที่ 2,ผู้สูงอายุ,สีออ,สามเงา,อำนาจเจริญ
273,โครงการที่ 3,เหล้าบุหรี่,หนองซอน,หนองวัวซอ,บุรีรัมย์
274,โครงการที่ 5,สิ่งแวดล้อม,คุระ,แก้งคร้อ,น่าน
275,โครงการที่ 17,การจัดการน้ำ,ผาเลือด,สตึก,บุรีรัมย์
